risk_score,y_true,triage_bucket
0.6396682,0,Manual Review
0.63937825,0,Manual Review
0.63873726,0,Manual Review
0.63854784,0,Manual Review
0.6383216,0,Manual Review
0.6382838,0,Manual Review
0.6374973,0,Manual Review
0.63683194,0,Manual Review
0.63509744,0,Manual Review
0.63509685,0,Manual Review
0.6344829,0,Manual Review
0.6342138,1,Manual Review
0.63385683,0,Manual Review
0.6324953,0,Manual Review
0.6323904,0,Manual Review
0.6311841,0,Approve
0.6302309,0,Approve
0.6298072,0,Approve
0.62902606,0,Approve
0.62880474,1,Approve
0.628099,0,Approve
0.627613,0,Approve
0.6269985,0,Approve
0.6267394,0,Approve
0.6258446,0,Approve
0.6242947,0,Approve
0.6241234,0,Approve
0.62326294,0,Approve
0.62296486,1,Approve
0.622513,0,Approve
0.6217627,0,Approve
0.6216882,0,Approve
0.6216212,0,Approve
0.62143904,0,Approve
0.621065,0,Approve
0.62092495,0,Approve
0.6203266,0,Approve
0.6202013,0,Approve
0.6200862,0,Approve
0.61957335,0,Approve
0.61775064,0,Approve
0.61758405,0,Approve
0.61667275,0,Approve
0.6163411,0,Approve
0.6152396,0,Approve
0.6133115,0,Approve
0.61221904,1,Approve
0.61016935,0,Approve
0.6096914,0,Approve
0.6083945,0,Approve
0.6076786,0,Approve
0.60684144,0,Approve
0.6064983,0,Approve
0.60444385,0,Approve
0.6031003,0,Approve
0.6027693,0,Approve
0.60164756,0,Approve
0.6006056,0,Approve
0.6001254,0,Approve
0.59937936,0,Approve
0.5968522,0,Approve
0.59612936,0,Approve
0.59583455,1,Approve
0.5938399,0,Approve
0.59367454,1,Approve
0.5933174,0,Approve
0.5926671,0,Approve
0.5918126,0,Approve
0.591555,0,Approve
0.59074736,0,Approve
0.5902504,0,Approve
0.5896597,0,Approve
0.5867664,0,Approve
0.5866689,0,Approve
0.58616704,0,Approve
0.58600694,0,Approve
0.5859289,0,Approve
0.5857237,1,Approve
0.58562815,0,Approve
0.5855687,0,Approve
0.58349836,0,Approve
0.5827838,0,Approve
0.5818463,0,Approve
0.5817607,1,Approve
0.58070254,0,Approve
0.57992667,0,Approve
0.5794548,0,Approve
0.5785752,0,Approve
0.5783476,0,Approve
0.5774897,0,Approve
0.57744986,0,Approve
0.5763895,0,Approve
0.57634324,0,Approve
0.57566386,0,Approve
0.57556576,0,Approve
0.57539934,0,Approve
0.5741413,0,Approve
0.5731276,0,Approve
0.57227904,0,Approve
0.57224107,0,Approve
0.5718751,0,Approve
0.57026404,0,Approve
0.5702483,0,Approve
0.56982154,0,Approve
0.5693929,0,Approve
0.56911385,0,Approve
0.56713843,0,Approve
0.5666294,0,Approve
0.5660848,0,Approve
0.5633038,0,Approve
0.5618927,0,Approve
0.5611674,0,Approve
0.56110513,0,Approve
0.5610932,0,Approve
0.56055814,0,Approve
0.5598687,0,Approve
0.55957973,0,Approve
0.55890787,0,Approve
0.5579807,0,Approve
0.55776274,0,Approve
0.5573979,0,Approve
0.55698216,0,Approve
0.55548036,1,Approve
0.5550353,0,Approve
0.5548177,1,Approve
0.55453724,0,Approve
0.55399907,1,Approve
0.5539646,0,Approve
0.5539285,0,Approve
0.55359995,0,Approve
0.55338246,0,Approve
0.5526848,0,Approve
0.5525724,0,Approve
0.551813,0,Approve
0.5516107,0,Approve
0.5510108,0,Approve
0.54645884,0,Approve
0.5448861,0,Approve
0.5446664,0,Approve
0.5444738,0,Approve
0.54348063,0,Approve
0.54195386,0,Approve
0.5411394,0,Approve
0.5408156,0,Approve
0.53882235,0,Approve
0.5380185,0,Approve
0.5379168,0,Approve
0.5371628,1,Approve
0.53546053,0,Approve
0.53370583,1,Approve
0.53281605,1,Approve
0.53254676,0,Approve
0.53141856,0,Approve
0.5311291,0,Approve
0.529671,0,Approve
0.5284127,0,Approve
0.52642065,0,Approve
0.5260228,0,Approve
0.5257911,0,Approve
0.52308226,0,Approve
0.52298576,0,Approve
0.52263653,0,Approve
0.52229744,0,Approve
0.5219175,0,Approve
0.5215823,0,Approve
0.52113205,0,Approve
0.52055395,0,Approve
0.52033913,0,Approve
0.520324,0,Approve
0.5202165,0,Approve
0.51863515,1,Approve
0.5179884,0,Approve
0.5147287,0,Approve
0.51411223,0,Approve
0.51382387,1,Approve
0.5121033,0,Approve
0.5118186,0,Approve
0.5110139,0,Approve
0.5106751,0,Approve
0.5087978,0,Approve
0.5084685,0,Approve
0.50643265,0,Approve
0.5054735,1,Approve
0.5035396,0,Approve
0.5026675,0,Approve
0.5023125,0,Approve
0.5020229,0,Approve
0.5018562,0,Approve
0.50128406,0,Approve
0.5012832,0,Approve
0.50100476,1,Approve
0.49876377,0,Approve
0.49517983,0,Approve
0.49425298,0,Approve
0.49355447,0,Approve
0.4930044,0,Approve
0.4923627,0,Approve
0.49196666,0,Approve
0.49195683,0,Approve
0.4911396,0,Approve
0.49061552,0,Approve
0.4894691,0,Approve
0.48771873,0,Approve
0.48681718,0,Approve
0.48379576,0,Approve
0.482948,0,Approve
0.48291397,0,Approve
0.48178715,0,Approve
0.4800725,0,Approve
0.47826084,0,Approve
0.4771,0,Approve
0.47579142,0,Approve
0.47541314,0,Approve
0.4746689,1,Approve
0.47448283,0,Approve
0.4741934,0,Approve
0.4736753,1,Approve
0.47121993,0,Approve
0.47078794,0,Approve
0.46993834,0,Approve
0.46937606,0,Approve
0.46881562,0,Approve
0.4686952,0,Approve
0.46710292,0,Approve
0.46701348,0,Approve
0.46654645,0,Approve
0.4635838,0,Approve
0.46247476,0,Approve
0.46172985,0,Approve
0.45974684,0,Approve
0.45965153,0,Approve
0.45340258,0,Approve
0.45275605,0,Approve
0.44349065,0,Approve
0.44104615,0,Approve
0.4366605,0,Approve
0.43545276,0,Approve
0.4352185,0,Approve
0.4348123,0,Approve
0.4339873,0,Approve
0.43250245,0,Approve
0.43181157,0,Approve
0.43136084,0,Approve
0.4307337,0,Approve
0.43058187,0,Approve
0.42956433,0,Approve
0.42824575,0,Approve
0.42685217,0,Approve
0.42636654,0,Approve
0.4258316,0,Approve
0.42543244,0,Approve
0.4248801,0,Approve
0.42063746,0,Approve
0.41988817,0,Approve
0.41983667,0,Approve
0.4152125,0,Approve
0.41390902,0,Approve
0.41308272,0,Approve
0.41293916,0,Approve
0.4118492,0,Approve
0.40987355,1,Approve
0.40825185,0,Approve
0.40694904,0,Approve
0.40664908,0,Approve
0.40533105,0,Approve
0.40161845,0,Approve
0.40144056,1,Approve
0.39923963,0,Approve
0.3969156,0,Approve
0.39563993,0,Approve
0.39022657,0,Approve
0.3887242,0,Approve
0.38462618,0,Approve
0.3807534,0,Approve
0.37924522,0,Approve
0.3761563,0,Approve
0.37512085,0,Approve
0.3730863,1,Approve
0.37266326,0,Approve
0.37183863,0,Approve
0.37155145,0,Approve
0.37144125,0,Approve
0.37143156,0,Approve
0.3664387,0,Approve
0.36619157,0,Approve
0.3653567,0,Approve
0.36371222,0,Approve
0.36121193,0,Approve
0.35639182,0,Approve
0.35555905,0,Approve
0.3509422,0,Approve
0.3500405,0,Approve
0.3494289,0,Approve
0.34858707,0,Approve
0.34732187,0,Approve
0.347251,0,Approve
0.3471405,0,Approve
0.3457013,1,Approve
0.34471196,0,Approve
0.34339762,0,Approve
0.33930498,0,Approve
0.33816236,0,Approve
0.3366768,1,Approve
0.33474356,0,Approve
0.33194032,0,Approve
0.33015954,0,Approve
0.32994542,0,Approve
0.32349452,0,Approve
0.3202585,0,Approve
0.32021534,0,Approve
0.31939197,0,Approve
0.31864682,0,Approve
0.31818983,1,Approve
0.31652182,0,Approve
0.31547785,0,Approve
0.31485945,0,Approve
0.31444302,0,Approve
0.31297603,0,Approve
0.31189746,0,Approve
0.31115407,0,Approve
0.30751818,0,Approve
0.30576795,0,Approve
0.30359036,0,Approve
0.30324847,0,Approve
0.29832557,0,Approve
0.29711172,0,Approve
0.29679796,0,Approve
0.29668397,0,Approve
0.29539573,0,Approve
0.29224572,0,Approve
0.2914404,0,Approve
0.29038644,0,Approve
0.28937647,0,Approve
0.28584954,0,Approve
0.28427914,0,Approve
0.28216097,0,Approve
0.27824825,0,Approve
0.27753994,0,Approve
0.27649567,1,Approve
0.27447292,0,Approve
0.27423665,0,Approve
0.27354154,0,Approve
0.2725375,0,Approve
0.2723248,0,Approve
0.27203244,0,Approve
0.26922008,0,Approve
0.2686773,0,Approve
0.26799577,0,Approve
0.26770043,0,Approve
0.2623835,0,Approve
0.26198933,1,Approve
0.25879097,0,Approve
0.25836664,0,Approve
0.25669986,0,Approve
0.25441954,0,Approve
0.25052574,0,Approve
0.24893722,0,Approve
0.24680792,0,Approve
0.24658808,0,Approve
0.24575785,0,Approve
0.2447493,0,Approve
0.24407864,0,Approve
0.24262846,0,Approve
0.2407835,0,Approve
0.23674,0,Approve
0.23653688,0,Approve
0.23285903,0,Approve
0.23268926,0,Approve
0.22718401,0,Approve
0.2265566,0,Approve
0.22602956,0,Approve
0.2224832,1,Approve
0.22029375,0,Approve
0.21665812,0,Approve
0.21404451,0,Approve
0.21311602,0,Approve
0.21225281,0,Approve
0.20777614,0,Approve
0.20176707,0,Approve
0.20126462,0,Approve
0.19743572,0,Approve
0.19738239,0,Approve
0.19572766,0,Approve
0.1953714,0,Approve
0.19452931,0,Approve
0.19436862,0,Approve
0.19320296,0,Approve
0.1905633,0,Approve
0.19003907,0,Approve
0.1887782,0,Approve
0.18764037,0,Approve
0.18705702,0,Approve
0.18634741,0,Approve
0.18628155,0,Approve
0.18462133,0,Approve
0.17999063,0,Approve
0.17980337,0,Approve
0.17896694,0,Approve
0.17793597,0,Approve
0.17696123,0,Approve
0.17286243,0,Approve
0.17133114,0,Approve
0.17074828,0,Approve
0.17045768,0,Approve
0.16877583,0,Approve
0.16685922,0,Approve
0.16530383,0,Approve
0.165295,0,Approve
0.16176103,0,Approve
0.15944706,0,Approve
0.15784231,0,Approve
0.15729442,0,Approve
0.15592287,0,Approve
0.15582661,0,Approve
0.15371853,0,Approve
0.15125073,0,Approve
0.15115398,0,Approve
0.15037507,0,Approve
0.14967455,0,Approve
0.14836118,0,Approve
0.14769968,0,Approve
0.14731456,0,Approve
0.14609747,0,Approve
0.1459325,0,Approve
0.14505386,0,Approve
0.14291073,0,Approve
0.14113751,0,Approve
0.14081687,0,Approve
0.14033248,0,Approve
0.13743375,0,Approve
0.13317712,0,Approve
0.13063797,0,Approve
0.13059485,0,Approve
0.12871702,0,Approve
0.12784421,0,Approve
0.12772699,0,Approve
0.12564428,0,Approve
0.12552844,0,Approve
0.12442528,0,Approve
0.12346446,0,Approve
0.12279549,0,Approve
0.12269641,0,Approve
0.121495,0,Approve
0.11869148,0,Approve
0.11851151,0,Approve
0.117701635,0,Approve
0.117434666,0,Approve
0.11681261,0,Approve
0.11599954,0,Approve
0.115898766,0,Approve
0.112564966,0,Approve
0.11155718,0,Approve
0.11128404,0,Approve
0.111050464,0,Approve
0.11054505,0,Approve
0.1102608,0,Approve
0.109914295,0,Approve
0.109358035,0,Approve
0.10883972,0,Approve
0.10602848,0,Approve
0.10525575,0,Approve
0.10491302,0,Approve
0.10438149,0,Approve
0.10260165,0,Approve
0.10211017,0,Approve
0.10146233,0,Approve
0.10101282,0,Approve
0.10096402,0,Approve
0.10081664,0,Approve
0.09920108,0,Approve
0.099178836,0,Approve
0.09895781,0,Approve
0.09860259,0,Approve
0.097575784,0,Approve
0.09727393,0,Approve
0.09706553,0,Approve
0.09692716,0,Approve
0.096167415,0,Approve
0.09606821,0,Approve
0.09558949,0,Approve
0.09500299,0,Approve
0.09460872,0,Approve
0.09449042,0,Approve
0.09310841,0,Approve
0.09261685,0,Approve
0.092052884,0,Approve
0.09202086,0,Approve
0.09162881,0,Approve
0.09155049,0,Approve
0.09141806,0,Approve
0.09138492,0,Approve
0.09043658,0,Approve
0.09001715,0,Approve
0.089626946,0,Approve
0.08947857,0,Approve
0.08893853,0,Approve
0.088825025,0,Approve
0.08827649,0,Approve
0.088157855,0,Approve
0.08772972,0,Approve
0.08584358,0,Approve
0.085825816,0,Approve
0.08483305,0,Approve
0.08467932,0,Approve
0.08386675,0,Approve
0.08331361,0,Approve
0.08284626,0,Approve
0.08277951,0,Approve
0.08190575,0,Approve
0.08179747,0,Approve
0.081573024,0,Approve
0.08144601,0,Approve
0.08134789,0,Approve
0.080878235,0,Approve
0.08079133,0,Approve
0.08072524,0,Approve
0.08055158,0,Approve
0.08025181,0,Approve
0.080128245,0,Approve
0.08008655,0,Approve
0.080081105,0,Approve
0.07986604,0,Approve
0.07934856,0,Approve
0.07914839,0,Approve
0.07819512,0,Approve
0.07792357,0,Approve
0.077865936,0,Approve
0.0772296,0,Approve
0.077086836,0,Approve
0.07678863,0,Approve
0.0766692,0,Approve
0.076272085,0,Approve
0.0762685,0,Approve
0.07603462,0,Approve
0.075434834,0,Approve
0.07532418,0,Approve
0.07478986,0,Approve
0.07421433,0,Approve
0.07420792,0,Approve
0.07371634,0,Approve
0.073379084,0,Approve
0.0733683,0,Approve
0.07328643,0,Approve
0.07304798,0,Approve
0.07281875,0,Approve
0.07253251,0,Approve
0.07243493,0,Approve
0.07208164,0,Approve
0.07192447,0,Approve
0.071497746,0,Approve
0.0708149,0,Approve
0.070707135,0,Approve
0.07043912,0,Approve
0.070206985,0,Approve
0.07008343,0,Approve
0.06940358,0,Approve
0.06887087,0,Approve
0.06796328,0,Approve
0.067945644,0,Approve
0.067451835,0,Approve
0.067139134,0,Approve
0.06684232,0,Approve
0.06642108,0,Approve
0.06621473,0,Approve
0.0662014,0,Approve
0.06568487,0,Approve
0.06562456,0,Approve
0.065139405,0,Approve
0.06474363,0,Approve
0.06471956,0,Approve
0.0645662,0,Approve
0.06432161,0,Approve
0.06423397,0,Approve
0.064027846,0,Approve
0.06392917,0,Approve
0.06382179,0,Approve
0.06365263,0,Approve
0.06342345,0,Approve
0.06336509,0,Approve
0.06278305,0,Approve
0.06199632,0,Approve
0.06198197,0,Approve
0.061684933,0,Approve
0.061195623,0,Approve
0.060041126,0,Approve
0.059936732,0,Approve
0.059530854,0,Approve
0.059504747,0,Approve
0.05920264,0,Approve
0.05884575,0,Approve
0.058732256,0,Approve
0.058423962,0,Approve
0.05837653,0,Approve
0.058288522,0,Approve
0.058120344,0,Approve
0.05807812,0,Approve
0.05794429,0,Approve
0.0579222,0,Approve
0.05776333,0,Approve
0.057567272,0,Approve
0.057007127,0,Approve
0.056505598,0,Approve
0.05639823,0,Approve
0.056358807,0,Approve
0.05633718,0,Approve
0.05632878,0,Approve
0.056079317,0,Approve
0.055921465,0,Approve
0.055698324,0,Approve
0.055680096,0,Approve
0.05564336,0,Approve
0.055623498,0,Approve
0.05552953,0,Approve
0.05540361,0,Approve
0.05533135,0,Approve
0.05528542,0,Approve
0.0550926,0,Approve
0.054884434,0,Approve
0.054521516,0,Approve
0.054448385,0,Approve
0.054352306,0,Approve
0.054252468,0,Approve
0.05412069,0,Approve
0.05390235,0,Approve
0.05380438,0,Approve
0.05371314,0,Approve
0.05369866,0,Approve
0.053463228,0,Approve
0.053208042,0,Approve
0.05309298,0,Approve
0.052866668,0,Approve
0.052860446,0,Approve
0.05282379,0,Approve
0.052687455,0,Approve
0.052638333,0,Approve
0.052328005,0,Approve
0.052176453,0,Approve
0.051954675,0,Approve
0.051588465,0,Approve
0.051425178,0,Approve
0.051425096,0,Approve
0.0513283,0,Approve
0.050956488,0,Approve
0.050787427,0,Approve
0.050771255,0,Approve
0.050725475,0,Approve
0.050424162,0,Approve
0.05032358,0,Approve
0.050136477,0,Approve
0.04998681,0,Approve
0.04952371,0,Approve
0.049391743,0,Approve
0.04938779,0,Approve
0.049307797,0,Approve
0.04903648,0,Approve
0.048587594,0,Approve
0.04833073,0,Approve
0.04827513,0,Approve
0.048264474,0,Approve
0.048176385,0,Approve
0.048056215,0,Approve
0.04790438,0,Approve
0.04755625,0,Approve
0.04755172,0,Approve
0.047414996,0,Approve
0.047305718,0,Approve
0.0471619,0,Approve
0.047086876,0,Approve
0.046985358,1,Approve
0.04677374,0,Approve
0.046705548,0,Approve
0.04670453,0,Approve
0.046614245,0,Approve
0.046548694,0,Approve
0.046337374,0,Approve
0.04626003,0,Approve
0.04625377,0,Approve
0.04590928,0,Approve
0.04568663,0,Approve
0.045519143,0,Approve
0.04545875,0,Approve
0.04540258,0,Approve
0.045233462,0,Approve
0.04509381,0,Approve
0.044998962,0,Approve
0.044921044,0,Approve
0.044742003,0,Approve
0.04469612,0,Approve
0.04464514,0,Approve
0.04455163,0,Approve
0.044502232,0,Approve
0.04411418,0,Approve
0.044037115,0,Approve
0.043948304,0,Approve
0.043608762,0,Approve
0.0435806,0,Approve
0.043316588,0,Approve
0.04316718,0,Approve
0.04306054,0,Approve
0.04304783,0,Approve
0.04295122,0,Approve
0.04277622,0,Approve
0.042642664,0,Approve
0.042434692,0,Approve
0.042403743,0,Approve
0.04237964,0,Approve
0.042360373,0,Approve
0.042316582,0,Approve
0.042209636,0,Approve
0.04204537,0,Approve
0.041753586,0,Approve
0.041753262,0,Approve
0.041748874,0,Approve
0.04174135,0,Approve
0.041666374,0,Approve
0.0414067,0,Approve
0.041397925,0,Approve
0.041197512,0,Approve
0.040966034,0,Approve
0.040962804,0,Approve
0.04080353,0,Approve
0.04075027,0,Approve
0.040422987,0,Approve
0.040411927,0,Approve
0.04038202,0,Approve
0.04028668,0,Approve
0.040272024,0,Approve
0.040141597,0,Approve
0.039978206,0,Approve
0.039768413,0,Approve
0.03972213,0,Approve
0.039355427,0,Approve
0.039146803,0,Approve
0.039130796,0,Approve
0.039109908,0,Approve
0.039009754,0,Approve
0.038941827,0,Approve
0.03893562,0,Approve
0.038878925,0,Approve
0.03872917,0,Approve
0.03870927,0,Approve
0.038628608,0,Approve
0.038598314,0,Approve
0.038499344,0,Approve
0.038402125,0,Approve
0.038041566,0,Approve
0.03797393,0,Approve
0.03795083,0,Approve
0.037928853,0,Approve
0.037922833,0,Approve
0.03789525,0,Approve
0.03788611,0,Approve
0.037799593,1,Approve
0.03744112,0,Approve
0.037388645,0,Approve
0.037337776,0,Approve
0.03729835,0,Approve
0.037269272,0,Approve
0.037214495,0,Approve
0.037097674,0,Approve
0.036869425,0,Approve
0.036727346,0,Approve
0.036651496,0,Approve
0.03654446,0,Approve
0.036470972,0,Approve
0.036357373,0,Approve
0.03634878,0,Approve
0.036207233,0,Approve
0.036069293,0,Approve
0.036061186,0,Approve
0.035935782,0,Approve
0.035653524,0,Approve
0.035516463,0,Approve
0.035504967,0,Approve
0.03549948,0,Approve
0.035498045,0,Approve
0.03531338,0,Approve
0.03502957,0,Approve
0.03496135,0,Approve
0.03479976,0,Approve
0.034740575,1,Approve
0.034368277,0,Approve
0.034178782,0,Approve
0.03379456,0,Approve
0.033700217,0,Approve
0.033688363,0,Approve
0.033530433,0,Approve
0.033436798,0,Approve
0.03342762,0,Approve
0.03339729,0,Approve
0.0333803,0,Approve
0.033202715,0,Approve
0.03313747,0,Approve
0.0330711,0,Approve
0.03297831,0,Approve
0.03286631,0,Approve
0.03285742,0,Approve
0.032839786,0,Approve
0.032797705,0,Approve
0.032438874,0,Approve
0.03242298,0,Approve
0.03240033,0,Approve
0.032288004,0,Approve
0.03218005,0,Approve
0.032020614,0,Approve
0.032019597,0,Approve
0.031831864,0,Approve
0.031774037,0,Approve
0.031410143,0,Approve
0.031326957,0,Approve
0.031249382,0,Approve
0.031228624,0,Approve
0.031170756,0,Approve
0.031092599,0,Approve
0.030850567,0,Approve
0.030828781,0,Approve
0.030172601,0,Approve
0.030086275,0,Approve
0.029782565,0,Approve
0.02978079,0,Approve
0.029744836,0,Approve
0.029549208,0,Approve
0.029453048,0,Approve
0.029439306,0,Approve
0.029372463,0,Approve
0.029358782,0,Approve
0.029308757,0,Approve
0.029307306,0,Approve
0.029277693,0,Approve
0.029051088,0,Approve
0.028983677,0,Approve
0.028968697,0,Approve
0.028674077,0,Approve
0.028637098,0,Approve
0.028167987,0,Approve
