rank,risk_score,actual_fraud,reason_code
42,0.1961,0,[MILD] High risk: Fault = 'Policy Holder' (SHAP: +0.0583)
42,0.1961,0,[MILD] High risk: PolicyType = 'Sedan - Collision' (SHAP: +0.0483)
42,0.1961,0,[MILD] Low risk: Month = 'Jul' (SHAP: -0.0174)
42,0.1961,0,[MILD] High risk: BasePolicy = 'All Perils' (SHAP: +0.0117)
43,0.1961,0,[MILD] High risk: BasePolicy = 'Liability' (SHAP: +0.0639)
43,0.1961,0,[MILD] High risk: Fault = 'Policy Holder' (SHAP: +0.0603)
43,0.1961,0,[MILD] High risk: PolicyType = 'Sedan - Collision' (SHAP: +0.0223)
43,0.1961,0,[MILD] High risk: Age (SHAP: +0.0167)
43,0.1961,0,[MILD] High risk: BasePolicy = 'All Perils' (SHAP: +0.0116)
44,0.1961,0,[MILD] High risk: BasePolicy = 'Liability' (SHAP: +0.0663)
44,0.1961,0,[MILD] High risk: Fault = 'Policy Holder' (SHAP: +0.0596)
44,0.1961,0,[MILD] High risk: PolicyType = 'Sedan - Collision' (SHAP: +0.0222)
44,0.1961,0,[MILD] High risk: Age (SHAP: +0.0156)
44,0.1961,0,[MILD] High risk: BasePolicy = 'All Perils' (SHAP: +0.0116)
45,0.1961,0,[MILD] High risk: BasePolicy = 'Liability' (SHAP: +0.0666)
45,0.1961,0,[MILD] High risk: Fault = 'Policy Holder' (SHAP: +0.0596)
45,0.1961,0,[MILD] High risk: PolicyType = 'Sedan - Collision' (SHAP: +0.0222)
45,0.1961,0,[MILD] High risk: BasePolicy = 'All Perils' (SHAP: +0.0132)
45,0.1961,0,[MILD] High risk: Age (SHAP: +0.0124)
46,0.1961,0,[MILD] High risk: BasePolicy = 'Liability' (SHAP: +0.0634)
46,0.1961,0,[MILD] High risk: Fault = 'Policy Holder' (SHAP: +0.0588)
46,0.1961,0,[MILD] High risk: PolicyType = 'Sedan - Collision' (SHAP: +0.0291)
46,0.1961,0,[MILD] High risk: BasePolicy = 'All Perils' (SHAP: +0.0180)
46,0.1961,0,[MILD] High risk: Age (SHAP: +0.0156)
47,0.1961,1,[MILD] High risk: BasePolicy = 'Liability' (SHAP: +0.0629)
47,0.1961,1,[MILD] High risk: Fault = 'Policy Holder' (SHAP: +0.0596)
47,0.1961,1,[MILD] High risk: PolicyType = 'Sedan - Collision' (SHAP: +0.0288)
47,0.1961,1,[MILD] High risk: BasePolicy = 'All Perils' (SHAP: +0.0180)
47,0.1961,1,[MILD] High risk: Age (SHAP: +0.0172)
48,0.1961,0,[MILD] High risk: BasePolicy = 'Liability' (SHAP: +0.0656)
48,0.1961,0,[MILD] High risk: Fault = 'Policy Holder' (SHAP: +0.0590)
48,0.1961,0,[MILD] High risk: PolicyType = 'Sedan - Collision' (SHAP: +0.0208)
48,0.1961,0,[MILD] High risk: Age (SHAP: +0.0157)
48,0.1961,0,[MILD] High risk: BasePolicy = 'All Perils' (SHAP: +0.0116)
49,0.1961,0,[MILD] High risk: BasePolicy = 'Liability' (SHAP: +0.0659)
49,0.1961,0,[MILD] High risk: Fault = 'Policy Holder' (SHAP: +0.0590)
49,0.1961,0,[MILD] High risk: PolicyType = 'Sedan - Collision' (SHAP: +0.0206)
49,0.1961,0,[MILD] High risk: Age (SHAP: +0.0160)
49,0.1961,0,[MILD] High risk: BasePolicy = 'All Perils' (SHAP: +0.0116)
50,0.1961,0,[MILD] High risk: Fault = 'Policy Holder' (SHAP: +0.0595)
50,0.1961,0,[MILD] High risk: BasePolicy = 'Liability' (SHAP: +0.0567)
50,0.1961,0,[MILD] High risk: PolicyType = 'Sedan - Collision' (SHAP: +0.0222)
50,0.1961,0,[MILD] High risk: Days_Policy_Claim = '15 to 30' (SHAP: +0.0161)
50,0.1961,0,[MILD] High risk: Age (SHAP: +0.0159)
51,0.1961,0,[MILD] High risk: BasePolicy = 'Liability' (SHAP: +0.0645)
51,0.1961,0,[MILD] High risk: Fault = 'Policy Holder' (SHAP: +0.0574)
51,0.1961,0,[MILD] High risk: PolicyType = 'Sedan - Collision' (SHAP: +0.0467)
51,0.1961,0,[MILD] High risk: Age (SHAP: +0.0254)
51,0.1961,0,[MILD] Low risk: Month = 'Jul' (SHAP: -0.0174)
52,0.1961,0,[MILD] High risk: BasePolicy = 'Liability' (SHAP: +0.0647)
52,0.1961,0,[MILD] High risk: Fault = 'Policy Holder' (SHAP: +0.0597)
52,0.1961,0,[MILD] High risk: PolicyType = 'Sedan - Collision' (SHAP: +0.0222)
52,0.1961,0,[MILD] High risk: BasePolicy = 'All Perils' (SHAP: +0.0129)
52,0.1961,0,[MILD] High risk: Age (SHAP: +0.0124)
53,0.1961,0,[MILD] High risk: BasePolicy = 'Liability' (SHAP: +0.0629)
53,0.1961,0,[MILD] High risk: Fault = 'Policy Holder' (SHAP: +0.0597)
53,0.1961,0,[MILD] High risk: PolicyType = 'Sedan - Collision' (SHAP: +0.0223)
53,0.1961,0,[MILD] High risk: BasePolicy = 'All Perils' (SHAP: +0.0128)
53,0.1961,0,[MILD] High risk: Age (SHAP: +0.0122)
54,0.1961,0,[MILD] High risk: BasePolicy = 'Liability' (SHAP: +0.0671)
54,0.1961,0,[MILD] High risk: Fault = 'Policy Holder' (SHAP: +0.0596)
54,0.1961,0,[MILD] High risk: PolicyType = 'Sedan - Collision' (SHAP: +0.0222)
54,0.1961,0,[MILD] High risk: Age (SHAP: +0.0158)
54,0.1961,0,[MILD] High risk: BasePolicy = 'All Perils' (SHAP: +0.0117)
55,0.1961,0,[MILD] High risk: BasePolicy = 'Liability' (SHAP: +0.0672)
55,0.1961,0,[MILD] High risk: Fault = 'Policy Holder' (SHAP: +0.0597)
55,0.1961,0,[MILD] High risk: PolicyType = 'Sedan - Collision' (SHAP: +0.0222)
55,0.1961,0,[MILD] High risk: BasePolicy = 'All Perils' (SHAP: +0.0127)
55,0.1961,0,[MILD] High risk: Age (SHAP: +0.0124)
56,0.1961,0,[MILD] High risk: BasePolicy = 'Liability' (SHAP: +0.0619)
56,0.1961,0,[MILD] High risk: Fault = 'Policy Holder' (SHAP: +0.0590)
56,0.1961,0,[MILD] High risk: PolicyType = 'Sedan - Collision' (SHAP: +0.0276)
56,0.1961,0,[MILD] High risk: BasePolicy = 'All Perils' (SHAP: +0.0179)
56,0.1961,0,[MILD] High risk: Age (SHAP: +0.0173)
57,0.1961,0,[MILD] High risk: BasePolicy = 'Liability' (SHAP: +0.0624)
57,0.1961,0,[MILD] High risk: Fault = 'Policy Holder' (SHAP: +0.0603)
57,0.1961,0,[MILD] High risk: PolicyType = 'Sedan - Collision' (SHAP: +0.0224)
57,0.1961,0,[MILD] High risk: Age (SHAP: +0.0174)
57,0.1961,0,[MILD] High risk: BasePolicy = 'All Perils' (SHAP: +0.0120)
58,0.1961,0,[MILD] High risk: BasePolicy = 'Liability' (SHAP: +0.0641)
58,0.1961,0,[MILD] High risk: Fault = 'Policy Holder' (SHAP: +0.0580)
58,0.1961,0,[MILD] High risk: PolicyType = 'Sedan - Collision' (SHAP: +0.0441)
58,0.1961,0,[MILD] Low risk: MonthClaimed = 'Nov' (SHAP: -0.0192)
58,0.1961,0,[MILD] High risk: BasePolicy = 'All Perils' (SHAP: +0.0180)
59,0.1961,0,[MILD] High risk: BasePolicy = 'Liability' (SHAP: +0.0638)
59,0.1961,0,[MILD] High risk: Fault = 'Policy Holder' (SHAP: +0.0588)
59,0.1961,0,[MILD] High risk: Age (SHAP: +0.0298)
59,0.1961,0,[MILD] High risk: PolicyType = 'Sedan - Collision' (SHAP: +0.0204)
59,0.1961,0,[MILD] Low risk: Make = 'Chevrolet' (SHAP: -0.0107)
60,0.1961,1,[MILD] High risk: BasePolicy = 'Liability' (SHAP: +0.0644)
60,0.1961,1,[MILD] High risk: Fault = 'Policy Holder' (SHAP: +0.0603)
60,0.1961,1,[MILD] High risk: PolicyType = 'Sedan - Collision' (SHAP: +0.0224)
60,0.1961,1,[MILD] High risk: Age (SHAP: +0.0171)
60,0.1961,1,[MILD] High risk: BasePolicy = 'All Perils' (SHAP: +0.0117)
61,0.1961,0,[MILD] High risk: BasePolicy = 'Liability' (SHAP: +0.0655)
61,0.1961,0,[MILD] High risk: Fault = 'Policy Holder' (SHAP: +0.0582)
61,0.1961,0,[MILD] High risk: PolicyType = 'Sedan - Collision' (SHAP: +0.0482)
61,0.1961,0,[MILD] Low risk: Month = 'Jul' (SHAP: -0.0174)
61,0.1961,0,[MILD] High risk: BasePolicy = 'All Perils' (SHAP: +0.0116)
62,0.1961,1,[MILD] High risk: BasePolicy = 'Liability' (SHAP: +0.0658)
62,0.1961,1,[MILD] High risk: Fault = 'Policy Holder' (SHAP: +0.0595)
62,0.1961,1,[MILD] High risk: PolicyType = 'Sedan - Collision' (SHAP: +0.0222)
62,0.1961,1,[MILD] High risk: Age (SHAP: +0.0159)
62,0.1961,1,[MILD] High risk: BasePolicy = 'All Perils' (SHAP: +0.0120)
63,0.1961,0,[MILD] High risk: BasePolicy = 'Liability' (SHAP: +0.0657)
63,0.1961,0,[MILD] High risk: Fault = 'Policy Holder' (SHAP: +0.0596)
63,0.1961,0,[MILD] High risk: PolicyType = 'Sedan - Collision' (SHAP: +0.0223)
63,0.1961,0,[MILD] High risk: Age (SHAP: +0.0155)
63,0.1961,0,[MILD] High risk: BasePolicy = 'All Perils' (SHAP: +0.0117)
64,0.1765,0,[MILD] High risk: Fault = 'Policy Holder' (SHAP: +0.0586)
64,0.1765,0,[MILD] High risk: BasePolicy = 'Liability' (SHAP: +0.0527)
64,0.1765,0,[MILD] High risk: PolicyType = 'Sedan - Collision' (SHAP: +0.0223)
64,0.1765,0,[MILD] High risk: Age (SHAP: +0.0152)
64,0.1765,0,[MILD] High risk: BasePolicy = 'All Perils' (SHAP: +0.0084)
65,0.1765,0,[MILD] High risk: Age (SHAP: +0.0665)
65,0.1765,0,[MILD] High risk: BasePolicy = 'Liability' (SHAP: +0.0594)
65,0.1765,0,[MILD] High risk: Fault = 'Policy Holder' (SHAP: +0.0562)
65,0.1765,0,[MILD] High risk: BasePolicy = 'All Perils' (SHAP: +0.0300)
65,0.1765,0,[MILD] Low risk: PoliceReportFiled = 'No' (SHAP: -0.0262)
